College Name,# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
Alaska Pacific University,193,146,55,16,44,249,869,7560,7560,1620,2500,130,800,1500,76,11.9,15
University of Alaska Southeast,146,117,89,4,24,492,1849,1742,5226,2514,2250,34,500,1162,39,9.5,39
Birmingham-Southern College,805,588,287,67,88,1376,207,11660,11660,2050,2430,120,400,900,74,14,72
Huntingdon College,608,520,127,26,47,538,126,8080,8080,1380,2540,100,500,1100,63,11.4,44
Talladega College,4414,1500,335,30,60,908,119,5666,5666,1424,1540,418,1000,1400,56,15.5,46
University of Alabama at Birmingham,1797,1260,938,24,35,6960,4698,2220,4440,1935,3240,291,750,2200,96,6.7,33
Arkansas College (Lyon College),708,334,166,46,74,530,182,8644,8644,2382,1540,120,500,800,79,12.6,54
Hendrix College,823,721,274,52,87,954,6,8800,8800,1935,1260,325,500,1200,82,13.1,63
John Brown University,605,405,284,24,53,961,99,6398,6398,1450,2222,148,400,1350,68,13.3,75
Harding University,1721,1068,806,35,75,3128,213,5504,5504,1650,1878,1016,700,910,71,17.7,73
Northern Arizona University,5891,4931,1973,23,48,11249,2682,1828,6746,1890,1838,66,620,2342,78,21.7,41
University of Arizona,14079,12238,4529,29,57,21664,4894,1828,7434,2186,2030,66,620,2550,91,19.6,49
California Polytechnic-San Luis,7811,3817,1650,47,73,12911,1404,2033,7380,2335,2542,20,612,2091,72,19.8,59
Claremont McKenna College,1860,767,227,71,93,887,1,17000,17000,3160,2850,140,500,850,99,9.6,87
Harvey Mudd College,1377,572,178,95,100,654,5,17230,17230,3320,3370,465,700,900,100,8.2,100
Pitzer College,1133,630,220,37,73,750,30,17688,17688,3192,2708,1548,650,850,100,10.4,73
Scripps College,855,632,139,60,83,569,7,17238,17238,3500,3850,112,600,800,95,8.2,73
Occidental College,2324,1319,370,52,81,1686,35,16560,16560,2980,2160,334,558,1152,91,10.5,79
Fresno Pacific College,346,274,146,51,87,704,63,9900,9900,1500,2170,174,630,1818,59,10.5,54
Pepperdine University,3821,2037,680,86,96,2488,625,18200,18200,3750,3020,70,500,700,95,11.6,66
Southern California College,385,340,193,18,38,784,127,9520,9520,1980,2144,340,630,1818,63,18.6,43
St. Mary's College of California,2643,1611,465,36,80,2615,248,13332,13332,3177,3177,120,630,1584,88,16.1,78
University of San Francisco,2306,1721,538,23,48,4309,549,13226,13226,3846,2606,100,750,2450,86,13.6,62
University of Southern California,12229,8498,2477,45,71,13259,1429,17230,17230,3566,2916,330,600,2210,90,11.4,68
Westmont College,950,713,351,42,72,1276,9,14320,14320,3080,2224,866,490,1410,77,14.9,87
Loyola Marymount University,3768,2662,753,42,64,3558,436,13592,13592,3276,2640,176,545,1328,84,14.2,84
Concordia University,688,497,144,30,75,641,101,10800,10800,2520,1920,690,570,1515,55,13.1,55
Adams State College,1508,1259,569,16,44,1922,232,1386,1672,1820,1910,374,520,2200,63,27.9,60
Colorado College,3207,1577,490,56,87,1892,7,17142,17142,2114,2076,120,450,1200,85,11.3,84
Fort Lewis College,3440,2823,1123,16,35,3793,486,1450,6198,1820,1500,327,500,2500,89,19.1,46
Mesa State College,1584,1456,891,6,18,3471,911,1434,5016,1782,2016,380,540,2256,48,28.8,59
University of Southern Colorado,1401,1239,605,10,34,3716,675,1644,7100,1756,2624,324,540,2948,63,19.4,36
Western State College of Colorado,2702,1623,604,7,24,2315,146,1819,5918,1936,1819,507,500,2050,76,19.4,52
Central Connecticut State University,4158,2532,902,6,24,6394,3881,1842,5962,2384,2060,1298,500,985,69,16.7,49
Connecticut College,3035,1546,438,42,93,1630,232,18740,18740,2935,3365,210,600,500,86,10.7,91
Sacred Heart University,2307,1896,509,19,51,1707,1889,11070,11070,4090,1690,320,400,600,71,14.8,82
Saint Joseph College,292,241,96,20,52,543,712,12200,12200,2200,2400,200,650,950,87,11.2,76
Trinity College CT,3058,1798,478,46,84,1737,244,18810,18810,3540,2150,780,500,680,91,10.4,91
